CODIGO;PRODUCTO;CATEGORIAS;RUBRO;SUB RUBRO;PORCENTAJE IVA;COD BARRA;COSTO;COSTO TOTAL;PROVEEDOR;STOCKEABLE;ACEPTA STOCK NEGATIVO;TIPO DE PRODUCTO;DESCRIPCION;ULTIMA ACT. COSTO;MONEDA
8436032296081;MOUSE SOLARMAX WM302B 2 EN 1 INALAMBRICO Y BLUETOOTH 1600DPI BATERIA INTERNA RECARGABLE INCLUYE CABLE TIPO C NEGRO;;MOUSE;INALAMBRICO;10,5;8436032296081;3816,11;3816,11;TECNOPRICES;S;S;SIMPLE;;9/5/2025;PESOS
085854226684;FUNDA TABLET CASE LOGIC RIGIDA QTS-207 BLACK;;ACCESORIOS;DE TABLETS;21;085854226684;14950;14950;TODOINSUMOS;S;S;SIMPLE;;21/4/2025;PESOS
7792641880259;CABLE NETMAK 2 RCA A PLUG 3.5MM - NM-C25 1,5 MTS;;CABLES Y ADAPTADORES;AUDIO;21;7792641880259;961,22;961,22;JCK, JUAN;S;S;SIMPLE;;10/4/2025;PESOS
2077;LAMPARA KOSMO CON CARGADOR INALAMBRICO QI Y LAPICERO - LAMP07;;ILUMINACION;LAMPARA LED;21;2077;19505;19505;JCK, JUAN;S;S;SIMPLE;;10/4/2025;PESOS
1113080113801;CABLE ONLY USB LIGHTNING MODO-138 LAIT BLANCO;;CABLES Y ADAPTADORES;LITGHTNING;21;1113080113801;818,18;818,18;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/5/2025;PESOS
11080904C010123;CABEZAL XAEA 220V MODX-C015 “INTENSIFY” – 1USB/1TC;;CARGADORES;USB C - 220V;21;11080904C010123;2322,31;2322,31;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/5/2025;PESOS
1247;CABLE USB A TIPO C OEM - BLANCO;;CABLES Y ADAPTADORES;TIPO C;21;1247;1500;1500;;S;S;SIMPLE;;24/4/2025;PESOS
956;FUNDA SIGNOTECH 15.4-16 BOLSILLO BLACK;;ACCESORIOS;DE NOTEBOOKS;21;956;8901,97;8901,97;TODOINSUMOS;S;S;SIMPLE;;11/4/2025;PESOS
619659069193;PENDRIVE SANDISK 32GB CRUZER BLADE NEGRO;;ALMACENAMIENTO;PENDRIVES;21;619659069193;4978,51;4978,51;IMPOTEKNO;S;S;SIMPLE;;3/4/2025;PESOS
1104010470402;AURICULAR XAEA MODX-704 ZYFER - NEGRO;;AUDIO;AURICULARES;10,5;1104010470402;25158,37;25158,37;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/5/2025;PESOS
112404019;MOUSE ONLY WIRELESS MOD QX-X1 – NEGRO;;MOUSE;INALAMBRICO;10,5;112404019;2570,14;2570,14;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/5/2025;PESOS
8806097058779;SAMSUNG A36 5G 8GB+256GB LAVANDA (-20% OFF);;CELULARES;SMARTPHONES;21;8806097058779;355206,5;355206,5;DIEGO COZZO, DIEGO;S;S;SIMPLE;;12/9/2025;PESOS
840023281716;MOTO G05 4GB + 128GB FOREST GREEN (-20% OFF);;CELULARES;SMARTPHONES;21;840023281716;109917,5;109917,5;DIEGO COZZO, DIEGO;S;S;SIMPLE;;12/9/2025;PESOS
840023285134;MOTO G35 5G 8GB + 256GB SAGE GREEN (-20% OFF);;CELULARES;SMARTPHONES;21;840023285134;179338,5;179338,5;DIEGO COZZO, DIEGO;S;S;SIMPLE;;12/9/2025;PESOS
840023276057;MOTO G85 5G 8GB + 256GB URBAN GREY (-20% OFF);;CELULARES;SMARTPHONES;21;840023276057;241818;241818;DIEGO COZZO, DIEGO;S;S;SIMPLE;;12/9/2025;PESOS
11260200055;PARLANTE 8 - MOD FS-802 - CANCUN;;AUDIO;PARLANTES;21;11260200055;28016,53;28016,53;ONLY DISTRIBUIDORA;S;S;SIMPLE;;12/9/2025;PESOS
840023257308;MOTO G24 POWER 8GB + 256GB AZUL;;CELULARES;SMARTPHONES;21;840023257308;146776,86;146776,86;DIEGO COZZO, DIEGO;S;S;SIMPLE;;4/6/2025;PESOS
5055374709832;AURICULAR IN-EAR MOTOROLA BUDS 2S BLACK;;AUDIO;AURICULARES;21;5055374709832;5081,62;5081,62;ITECOM - XIUN;S;S;SIMPLE;;8/5/2025;PESOS
110601028;SOPORTE PARA AUTO CON SOPAPA – MOD 40 “GYRO”;;ACCESORIOS;DE AUTO;21;110601028;1380,17;1380,17;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/5/2025;PESOS
1104010470301;AURICULARES XAEA MODX-703 “RADIANCE” - BLANCO;;AUDIO;AURICULARES;10,5;1104010470301;24923,08;24923,08;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/5/2025;PESOS
19051;DISCO SOLIDO SSD 256GB M2 GOLDEN INTERFACE SATA 3.1 6GB LECTURA HASTA 500MB Y ESCRITURA HASTA 500MB;;ALMACENAMIENTO;DISCOS SOLIDOS;10,5;19051;19642,59;19642,59;TECNOPRICES;S;S;SIMPLE;;9/5/2025;PESOS
110733088;CABLE USB MOD118 ECO LISO 2 – ONLY – V8 – NEGRO;;CABLES Y ADAPTADORES;MICRO USB - V8;21;110733088;752,07;752,07;ONLY DISTRIBUIDORA;S;S;SIMPLE;;11/4/2025;PESOS
1113090895002;CABLE USB TIPO C MOD950 - NEGRO;;CABLES Y ADAPTADORES;TIPO C;21;1113090895002;723;723,14;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
5055374709962;AURICULAR PLEGABLE MOTOROLA XT220 BLUETOOTH & JACK 3.5MM COLOR NEGRO;;AUDIO;AURICULARES;21;5055374709962;34352,5;34352,5;ITECOM - XIUN;S;S;SIMPLE;;8/5/2025;PESOS
840023288678;MOTO G15 4GB + 128GB VERDE;;CELULARES;SMARTPHONES;21;840023288678;123966,94;123966,94;DIEGO COZZO, DIEGO;S;S;SIMPLE;;4/6/2025;PESOS
8806095549552;SAMSUNG A35 5G 8GB + 256GB AZUL OSCURO;;CELULARES;SMARTPHONES;21;8806095549552;293553,72;293553,72;DIEGO COZZO, DIEGO;S;S;SIMPLE;;4/6/2025;PESOS
0742832292160;MOUSE RAPTOR STORM GRIP 4 BOTONES 3600DPI 7 COLORES;;MOUSE;USB ALAMBRICO;10,5;0742832292160;4300,45;4300,45;INVID COMPUTERS;S;S;SIMPLE;;30/5/2025;PESOS
700306605793;NETMAK NM-ATHLET AURICULAR BLUETOOTH OWS OPEN WIRELESS STEREO;;AUDIO;AURICULARES;21;700306605793;16368;16368;JCK, JUAN;S;S;SIMPLE;;29/4/2025;PESOS
11080808504020;CARGADOR 12V “GEAR” MOD-504 – 1 USB Y 1 TIPO C – XAEA – NEGRO;;CARGADORES;USB C - 12V;21;11080808504020;1843;1842,98;ONLY DISTRIBUIDORA;S;S;SIMPLE;;13/10/2025;PESOS
110809010180121;CABEZAL 220V MODO-018 4.8A – RUSH – 1USB – ONLY – BLANCO;;CARGADORES;DE PARED;21;110809010180121;1421;1421,49;ONLY DISTRIBUIDORA;S;S;SIMPLE;;13/10/2025;PESOS
700306606578;MICROFONO NETMAK NM-MC7 PLUG 6.5MM CON ADAPTADOR A 3.5MM UNIDIRECCIONAL CABLE 2.5M;;AUDIO;MICROFONOS;21;700306606578;5405;5404,96;TECNOPRICES;S;S;SIMPLE;;13/10/2025;PESOS
7798137707109;AURICULAR VINCHA NOGANET NGV-400 ROJO CABLE 1.5 MTS CON MICROFONO 2 PLUG 3.5MM ROSA Y VERDE;;AUDIO;AURICULARES;21;7798137707109;5595;5595,04;TECNOPRICES;S;S;SIMPLE;;13/10/2025;PESOS
112404010;MOUSE WIRELESS MOD Q5 – ONLY – NEGRO;;MOUSE;INALAMBRICO;21;112404010;2867,77;2867,77;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/5/2025;PESOS
840023268816;MOTO G04S 4GB + 128GB NEGRO;;CELULARES;SMARTPHONES;21;840023268816;98181,81;98181,81;DIEGO COZZO, DIEGO;S;S;SIMPLE;;13/6/2025;PESOS
110805010060201;CARGADOR ONLY 220V MOD600 - 6A - 1USB + CABLE TIPO C NEGRO;;CARGADORES;USB C - 220V;21;110805010060201;2413,22;2413,22;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/9/2025;PESOS
6957939000325;PLACA DE RED WIFI USB MERCUSYS MW150US 150MB 2.4GHZ NANO;;CONECTIVIDAD;PLACA DE RED;21;6957939000325;4500;4500;TECNOPRICES;S;S;SIMPLE;;12/9/2025;PESOS
10020630350;AURICULAR ONLY P15 BT MOD63-22 GRIS/ROJO;;AUDIO;AURICULARES;21;10020630350;7388,43;7388,43;ONLY DISTRIBUIDORA;S;S;SIMPLE;;11/4/2025;PESOS
110805010180101;CARGADOR ONLY 220V MOD430 - 4.8A - 1USB + CABLE TIPO C BLANCO;;CARGADORES;USB C - 220V;21;110805010180101;1619,83;1619,83;ONLY DISTRIBUIDORA;S;S;SIMPLE;;11/4/2025;PESOS
110805010180201;CARGADOR ONLY 220V MOD430 - 4.8A - 1USB + CABLE TIPO C NEGRO;;CARGADORES;USB C - 220V;21;110805010180201;1619,83;1619,83;ONLY DISTRIBUIDORA;S;S;SIMPLE;;11/4/2025;PESOS
